t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS
285.0,-29.540,-33.942,-44.105,-48.589,-52.158,-55.210
286.0,-31.899,-36.264,-44.459,-48.005,-50.990,-53.438
287.0,-28.343,-33.043,-42.054,-45.697,-49.245,-52.257
288.0,-28.704,-33.025,-42.777,-46.926,-51.152,-54.315
289.0,-31.951,-36.649,-45.340,-49.046,-52.154,-54.505
290.0,-35.067,-39.438,-45.579,-48.047,-50.306,-52.491
291.0,-34.025,-39.009,-47.096,-50.183,-53.220,-55.828
292.0,-34.198,-37.480,-46.635,-49.506,-53.071,-56.183
293.0,-34.281,-38.810,-46.710,-49.815,-52.828,-56.012
294.0,-42.731,-46.795,-56.750,-61.082,-64.733,-67.258
295.0,-47.073,-51.399,-61.927,-66.257,-68.981,-71.270
296.0,-39.539,-44.307,-53.767,-57.711,-61.320,-64.362
297.0,-38.982,-44.226,-52.432,-55.885,-59.435,-62.280
298.0,-35.929,-40.998,-48.414,-51.445,-54.395,-56.896
299.0,-32.602,-38.138,-45.021,-48.171,-50.907,-53.243
300.0,-31.066,-36.203,-42.749,-45.106,-47.965,-49.858
301.0,-36.237,-40.946,-48.143,-51.303,-54.401,-56.844
302.0,-33.671,-37.684,-43.593,-47.561,-50.971,-53.913
303.0,-32.494,-36.413,-43.119,-46.542,-49.196,-51.384
304.0,-33.195,-37.553,-45.235,-48.979,-52.123,-54.861
305.0,-34.280,-37.946,-47.059,-50.836,-54.305,-57.428
306.0,-34.152,-38.967,-45.821,-49.051,-52.144,-54.937
307.0,-32.513,-38.125,-46.722,-50.092,-53.770,-56.556
308.0,-30.782,-35.579,-43.957,-48.157,-51.745,-54.965
309.0,-31.338,-36.371,-44.236,-47.666,-50.726,-53.235
310.0,-32.133,-38.311,-44.619,-47.692,-50.790,-53.262
311.0,-35.611,-41.300,-49.360,-52.976,-56.274,-59.021
312.0,-38.270,-43.976,-51.173,-54.858,-58.564,-61.514
313.0,-33.471,-39.319,-46.574,-49.917,-53.225,-55.873
314.0,-33.565,-39.593,-45.853,-49.023,-52.174,-54.850
315.0,-31.040,-36.399,-44.127,-47.008,-49.565,-52.205
316.0,-30.065,-36.022,-42.176,-45.429,-47.794,-50.036
317.0,-27.734,-32.278,-39.166,-42.130,-45.321,-47.731
318.0,-28.322,-32.795,-39.960,-42.857,-45.496,-48.091
319.0,-26.514,-31.576,-38.700,-41.988,-45.358,-48.560
320.0,-24.254,-30.686,-37.009,-40.537,-43.772,-46.400
321.0,-27.203,-31.418,-38.300,-41.290,-43.853,-46.638
322.0,-23.937,-29.707,-36.299,-39.824,-43.297,-46.250
323.0,-23.983,-30.929,-36.178,-40.049,-43.226,-45.943
324.0,-25.989,-30.052,-36.799,-39.723,-42.760,-45.063
325.0,-26.677,-30.282,-38.524,-42.159,-45.558,-48.457
326.0,-26.903,-31.869,-39.960,-43.320,-46.262,-48.946
327.0,-28.269,-33.795,-40.799,-44.341,-47.405,-49.884
328.0,-34.348,-38.500,-47.422,-51.325,-54.684,-57.693
329.0,-31.991,-37.426,-45.597,-49.040,-52.063,-55.136
330.0,-33.223,-38.742,-46.827,-50.569,-53.932,-56.498
331.0,-30.793,-36.375,-43.943,-47.585,-51.013,-53.804
332.0,-27.788,-33.090,-40.987,-44.615,-47.642,-50.356
333.0,-29.088,-34.816,-43.209,-46.519,-49.790,-52.554
334.0,-34.719,-40.088,-47.808,-51.659,-54.715,-57.388
335.0,-38.436,-43.154,-53.211,-56.015,-58.928,-62.018
336.0,-36.837,-41.623,-49.262,-52.059,-54.622,-56.438
337.0,-32.854,-36.351,-46.922,-50.569,-53.864,-56.312
338.0,-31.606,-35.462,-45.348,-48.886,-51.881,-53.997
339.0,-29.446,-33.038,-42.052,-45.093,-47.878,-50.443
340.0,-27.775,-32.196,-41.200,-44.399,-46.930,-49.774
341.0,-29.038,-33.133,-43.377,-46.854,-50.121,-52.601
342.0,-24.061,-29.125,-37.817,-40.905,-43.895,-46.710
343.0,-25.251,-29.900,-38.567,-41.537,-44.202,-47.075
344.0,-23.601,-27.890,-36.560,-40.413,-43.775,-46.567
345.0,-23.660,-27.893,-36.954,-40.121,-43.410,-45.594
346.0,-26.169,-30.822,-40.068,-44.540,-47.583,-50.207
347.0,-23.889,-27.487,-38.341,-41.761,-45.012,-47.831
348.0,-20.859,-25.781,-35.368,-39.552,-42.689,-44.350
349.0,-21.601,-26.315,-33.074,-36.378,-39.536,-42.515
350.0,-19.985,-24.693,-32.219,-35.547,-38.906,-41.584
351.0,-22.080,-26.360,-33.476,-37.746,-41.106,-44.394
352.0,-19.568,-24.719,-31.224,-35.105,-38.749,-41.781
353.0,-20.294,-24.882,-32.584,-36.923,-40.280,-42.869
354.0,-22.306,-26.111,-35.087,-38.464,-42.200,-45.017
355.0,-47.597,-52.437,-61.069,-67.362,-71.228,-74.066
356.0,-16.483,-21.921,-30.631,-34.353,-37.150,-39.757
357.0,-40.423,-44.909,-53.898,-59.639,-64.140,-67.091
358.0,-18.341,-23.031,-33.160,-36.870,-39.860,-42.558
359.0,-24.172,-28.152,-39.233,-43.355,-47.208,-49.581
360.0,-53.908,-57.665,-64.686,-70.109,-71.990,-73.815
361.0,-66.196,-66.997,-72.634,-76.431,-75.741,-78.109
362.0,-68.064,-66.928,-75.490,-78.512,-78.735,-80.481
363.0,-69.901,-67.049,-76.551,-79.912,-80.371,-81.427
364.0,-47.582,-51.447,-61.514,-65.644,-67.187,-69.466
