t_start_s,zm1_order0_dBFS,zm1_order1_dBFS,zm1_order2_dBFS,zm1_order3_dBFS,spcmic_order0_dBFS,spcmic_order1_dBFS,spcmic_order2_dBFS,spcmic_order3_dBFS,diff_order0_dB,diff_order1_dB,diff_order2_dB,diff_order3_dB
727.0,-29.600,-38.248,-52.966,-64.303,-34.174,-38.463,-41.102,-42.684,4.575,0.215,-11.865,-21.619
728.0,-29.395,-38.593,-49.716,-63.170,-46.523,-50.928,-53.500,-55.021,17.128,12.335,3.784,-8.149
729.0,-29.247,-37.640,-51.389,-63.942,-40.315,-45.152,-47.060,-48.851,11.068,7.512,-4.329,-15.091
730.0,-27.004,-37.499,-54.803,-67.272,-40.462,-46.265,-47.234,-48.987,13.458,8.766,-7.569,-18.286
731.0,-33.552,-44.189,-58.617,-70.392,-39.264,-44.560,-46.257,-47.759,5.712,0.371,-12.361,-22.632
732.0,-33.836,-44.587,-63.777,-74.734,-42.498,-46.286,-49.257,-50.869,8.661,1.699,-14.520,-23.865
733.0,-30.335,-41.418,-56.998,-67.226,-44.265,-47.029,-51.451,-52.403,13.929,5.611,-5.547,-14.823
734.0,-32.809,-43.540,-61.938,-72.063,-36.531,-41.083,-43.422,-45.007,3.722,-2.458,-18.516,-27.056
735.0,-28.959,-40.271,-57.048,-66.696,-42.794,-47.323,-48.256,-51.336,13.835,7.052,-8.792,-15.361
736.0,-41.153,-52.434,-72.298,-83.379,-39.014,-43.574,-45.832,-47.522,-2.139,-8.860,-26.465,-35.857
737.0,-36.004,-46.150,-63.286,-76.932,-43.908,-48.164,-50.718,-52.413,7.903,2.014,-12.567,-24.518
738.0,-35.943,-48.343,-66.910,-80.945,-42.087,-46.986,-49.463,-50.510,6.144,-1.356,-17.447,-30.435
739.0,-33.482,-46.070,-66.724,-80.876,-39.780,-46.740,-47.163,-48.176,6.298,0.670,-19.561,-32.700
740.0,-38.136,-48.475,-60.248,-68.660,-44.288,-49.221,-51.083,-52.782,6.152,0.746,-9.165,-15.878
741.0,-41.260,-51.128,-58.639,-66.924,-42.221,-46.563,-48.989,-50.706,0.961,-4.565,-9.650,-16.219
742.0,-30.787,-43.053,-61.451,-73.475,-44.791,-49.187,-51.625,-53.298,14.005,6.134,-9.827,-20.177
743.0,-38.687,-49.040,-65.634,-78.197,-41.456,-45.971,-48.228,-49.966,2.769,-3.070,-17.406,-28.231
744.0,-33.489,-45.366,-65.276,-75.863,-42.719,-46.925,-49.528,-51.222,9.230,1.558,-15.747,-24.641
745.0,-38.389,-50.339,-71.936,-83.170,-38.830,-43.198,-45.670,-47.320,0.441,-7.140,-26.266,-35.850
746.0,-36.391,-46.999,-65.957,-79.347,-39.365,-43.453,-46.259,-47.841,2.974,-3.545,-19.698,-31.506
747.0,-36.578,-48.008,-66.425,-79.451,-42.581,-46.713,-49.471,-51.075,6.002,-1.295,-16.954,-28.376
748.0,-39.878,-51.971,-72.038,-85.087,-43.541,-47.938,-50.478,-52.028,3.663,-4.033,-21.561,-33.060
749.0,-36.615,-48.554,-68.974,-83.824,-47.739,-51.934,-54.679,-56.225,11.123,3.380,-14.295,-27.599
750.0,-38.630,-50.598,-72.868,-85.020,-51.420,-55.858,-58.281,-59.897,12.789,5.261,-14.588,-25.123
751.0,-35.608,-47.621,-69.644,-83.085,-49.454,-53.659,-56.252,-57.949,13.845,6.039,-13.392,-25.136
752.0,-37.770,-49.601,-71.170,-82.558,-51.255,-55.340,-58.181,-59.732,13.485,5.739,-12.989,-22.826
753.0,-33.613,-44.448,-64.593,-78.528,-52.187,-56.139,-58.987,-60.688,18.574,11.691,-5.606,-17.840
754.0,-34.498,-45.319,-65.960,-80.254,-51.567,-55.893,-58.333,-60.035,17.069,10.574,-7.627,-20.219
755.0,-36.878,-47.665,-70.506,-84.292,-68.622,-67.119,-75.465,-76.950,31.744,19.455,4.959,-7.342
756.0,-38.400,-49.544,-73.363,-86.807,-69.898,-67.669,-76.787,-78.212,31.498,18.125,3.424,-8.596
757.0,-42.473,-54.347,-77.969,-88.524,-70.589,-68.466,-77.483,-78.883,28.116,14.119,-0.486,-9.641
758.0,-45.672,-58.465,-80.996,-89.036,-25.288,-30.229,-31.904,-33.770,-20.384,-28.236,-49.092,-55.266
759.0,-44.459,-56.867,-80.240,-88.442,-19.534,-24.684,-26.654,-28.136,-24.925,-32.183,-53.585,-60.306
